LSR_GOODS_CD,LSR_GOODS_NM
19,[전북 전주]말순이 : 한옥마을 한복대여권
25,[서울 홍대] 러브뮤지엄 : 이색전시회
31,[전북 전주] 플라이코리아 패러글라이딩
108,[경기 여주] 쎈토이 뮤지엄 입장권(키덜트)
124,[서울 종로] 리브레 : 수제비누 & 향초 만들기 체험
140,[경기 시흥] 창조자연사 박물관 입장권
141,[충북 단양] 클레이사격
155,[서울 신도림] 뛰뛰빵빵 점핑랜드
197,[서울 강남] 클라임이모션
268,[충남 당진] 삽교호 카트월드 이용권
744,"[충북 단양] 천동동굴 : 석회동굴, 단양명소"
796,[서울 강남] 크리센트 : 향수  만들기 원데이 클래스
853,[서울 중구] 남대문 실탄사격장
972,[강원 강릉] 아라나비토종 짚라인 왕복권
1021,[전북 전주] 한복길 한복대여
1036,[서울 노원] 이창현 노원클라이밍센터
1090,[서울 상암] 코알라 클라이밍
1091,[서울 종로] 경복궁 한복대여 한복남
1116,[경기 일산] 원마운트 아이봇
1117,"[서울 여의도] 여의나루 아이봇, 전동킥보드"
6669,[전남 여수] 카트 체험장
11096,[서울 홍대] 반지카페 : 반지만들기 체험
11439,[전남 여수] 국가대표 패러글라이딩
11455,[서울 종로] MES 방탈출카페
11516,[충북 단양]패러마을 패러글라이딩
11528,[서울 동대문] 한복 웨딩카페
11542,[강원 강릉] 환희 컵 : 이색박물관
11651,[강원 평창] 조나단 패러글라이딩
12700,[서울 상왕십리] 그 아저씨 도예공방 : 핸드페인팅 & 핸드빌딩
12834,[강촌/가평] 레저클럽 ATV/카트/스쿠터/수상레저 패키지
12962,[서울 여의도] 한강 전동 퀵보드/다타코리아 대여
12975,[전북 부안] 원숭이학교 & 자연사박물관
13003,[전북 전주] 프리미엄 동물카페 우쮸쮸
13395,[서울 홍대] 심신프리카페 : 마사지
13400,[경기 화성] 애니랜드 : 조류 & 체험동물원
13507,[경기 김포] 김포 곤충농장
13936,[충남 대천] 짚트랙
13957,[인천 남동] 그레이트피그미풀 키즈파크
18909,[서울 강남] 피규어뮤지엄 W
19407,[경기 양평] 추억의 청춘뮤지엄
19541,[경북 경산] 경산 스파월드 : 사우나 & 찜질방
19589,[서울 목동] 목동 종합사격장
19595,[서울 송파] 송파 사격장
19598,[대전 동구] 그레이트피그미풀 : 대전복합터미널점
19722,[전북] 전북투어패스
19733,[서울 마포] 팝아트 : 초상화체험 풍뎅이의숲
19767,[제주 제주시] RPB 패러글라이딩
19912,[강원 인제] 엑스게임 리조트 번지점프 이용권
19952,[전북 전주] 전주 한옥마을패스권
20057,[전북 전주] 한옥마을패스권 + 상의원 고급한복대여 3시간 이용권
20066,[강원 인제] 인제 ATV
20143,[서울 홍대] 트릭아이 뮤지엄 패키지
20281,[경기 안산]별빛마을 빛축제 + 거울미로
20374,[경북 경주]스쿠터 대여 스쿠터팡
20474,아쿠아플라넷 + 성산포유람선
20476,아쿠아플라넷 + 얼라이브카트
20538,[경북 경주] 한복대여 한복동이
20553,[서울 종로] 창덕궁&창경궁 한복대여 한복남
20575,아쿠아플라넷 + 허브동산 야간권
20576,아쿠아플라넷 + 러브랜드
20578,아쿠아플라넷 + 박물관은 살아있다
20586,[서울 잠실] 석촌호수 전동휠렌탈샵 제이휠
20596,[제주]아쿠아플라넷 + 레일바이크
20627,[전북 전주] 한옥마을패스권 + 말순이 한복대여
20628,[전북] 한옥마을패스권 + 한복길 한복대여
20697,[경기 가평] 인터렉티브 아트 뮤지엄
21018,[부산 남포] 심신프리 힐링카페
21019,[인천 중구] 영종도 레일바이크
21968,[전북 전주]한옥마을 한복대여 전주한복
22000,[부산 동구] BUTI 시티 투어 버스
23035,[전북 군산] 패러글라이딩 스쿨
23038,[전북 전주] 전주한옥마을 한복대여 한복남
23120,[전북 군산] 군산투어패스 : 군산 5대 관광지 자유이용권
23121,[전북 군산] 군산투어패스 + 테디베어 뮤지엄
23130,[부산 서면] 깜부 키즈카페
23186,[강원 영월] 영월 패러글라이딩
23187,[경북 상주] 활공랜드
23203,[전북 부안] 부안투어패스  : 부안여행 자유이용권
23239,[서울 신림] 러브낚시카페 신림본점
23276,[전남 여수] 서틀러 다육식물원 관람&체험권
23838,[경북 경산]공룡박물관
23865,[서울 여의도] 알파휠 여의도점
23895,[전북 고창] 고창투어패스 : 4대 관광지 자유입장
23918,[서울 여의도] 아이봇 피크닉
23973,[경기 일산] 강아지 테마파크
24020,[전북 완주] 완주투어패스
24172,[경기 화성] 어섬 패러글라이딩
24177,[경북 안동] 곤충파충류 체험전
24197,[전북 진안] 진안투어패스
24198,[전북 진안] 진안투어패스 + 홍삼스파 패키지
24255,러브낚시카페
24389,[서울 여의도] VR스크린사냥&사격장 슈팅버니
24392,[전북 전주] 에어피닉스 패러글라이딩
24399,[서울 왕십리] 그레이트피그미풀 키즈카페
24402,홍대 한복남 한복대여
24403,[전남 여수] 한우드림 동물테마농장
24415,[서울 인사동] 놀이똥산 패키지
24464,[경기 파주] 헤이리 팝트릭아트 93뮤지엄
24477,[전북 무주] 무주투어패스
24478,[전북 장수] 장수투어패스
24555,[경기 포천] 산사원 : 전통주 갤러리
24560,[전북 임실] 임실투어패스
24609,[서울 홍대] 포트링 : 도자기만들기 체험
24640,[전북 전주] 한옥마을 왕발통 & 전동 바이크
24655,[충북 단양] 스카이 패러글라이딩
24659,[부산 김해]렛츠런파크 일루미아빛 테마파크
24661,[전북 임실] 임실치즈테마파크 치즈체험 + 임실투어패스
27361,[부산 기장] 딸기가 좋아 동부산점
27362,[경기 분당] 딸기가 좋아 분당점
27363,[경기 고양] 딸기가 좋아 삼송점
27364,딸기가 좋아 : 올림픽공원점
27365,[강원 원주] 딸기가 좋아 원주점
27366,[인천 부평] 딸기가 좋아 인천부평점
27367,[인천 서구] 딸기가 좋아 인천청라점
27368,[서울 왕십리] 딸기가 좋아 한양대점
27371,[대전 중구] 아쿠아리움 + 애니멀파크 패키지
27381,[대전 서구] 하이주 동물키즈카페
27382,[부산 해운대]하이주 실내동물원
27383,[경기 부천] 실내 동물원 하이주
27392,[전북 남원] 남원투어패스
27413,[부산 수영] 광안리 커플라운지 이색카페
27414,[경기 화성] 하늘땅랜드 체험농장
27483,[전북 장수] 장수투어패스 + 승마체험장
27494,[서울 중구]시티투어버스
27517,[경남 남해] 원예예술촌
27527,[강원 강릉] 심신프리카페
27557,[전북] 익산투어패스
27631,[전북 익산] 교도소세트장 체험 + 익산투어패스
27654,[전북 김제] 김제 투어패스
27788,[전북 순창] 순창투어패스
28022,[경남 진주] 진주랜드
28057,[전남 여수] 아쿠아플라넷 입장권
28064,[전남 여수] 여수 아쿠아플라넷 + 테디베어 패키지
28070,[전남 여수] 여수 아쿠아플라넷 + 레일바이크 패키지
28086,[전북 군산] 테디베어 박물관
28087,[전북 정읍] 정읍투어패스
28180,[서울 신도림] 코코몽 녹색놀이터
28198,[전북 정읍] 정읍투어패스+시암아트센터
28217,[충남 당진] 삽교호놀이동산 앵무새 체험관
28218,[충남 당진] 삽교호 짚트랙
28221,[충남 태안] 안면 카트체험장
28222,[충남 홍성] 조류탐사과학관 + 4D영상체험
28223,[충남 아산] 온양관광호텔 온천사우나 입장권
28225,[경기 안산] 뛰뛰빵빵 어드벤처 NC백화점
28226,[경기 광명] 코코몽어드벤처 대형 실내 놀이터
28228,[서울 김포] 코코몽 녹색놀이터 김포공항점
28229,[인천 계양] 코코몽어드벤처 대형 실내 놀이터
28477,[경기 양평] 들꽃수목원
28492,[충남 아산] 아산스파비스 종일권
28581,[서울 종로] 프리징아일랜드
28746,[대구 동구] 미니멀동물원 이시아점
29072,[전남 완도] 완도 청해포구 촬영장
29117,[경기 여주] 주주팜
29233,[강원 강릉] 경포 아쿠아리움
29268,[충남 태안] 태안투어패스 (구매 다음 날 이용 가능)
29290,[경기 일산] 실내동물원 와우쥬
29293,[제주 제주시] 바이크트립 자전거 렌탈패키지
29294,[강원 속초] 얼라이브하트 + 다이나믹 메이즈 에피소드2
29381,[경기 성남] 몬스터타운
29386,[충북 충주] 수안 보온천랜드 입장권
29397,[경기 양주] 양주 애니멀카페 실내동물원
29409,[서울 강동]더쥬 실내동물원
29423,[충북] 힐링투어패스
29546,[강원 정선] 삼탄아트마인
29591,[전북 군산] 선유스카이 선라인
29656,[강원 춘천] 제이드가든
29719,[전북 전주]물고기마을
29773,[충남 당진] 삽교호 함상공원 패키지
29818,[경북 경주] 뽀로로 아쿠아빌리지 준성수기 시즌
29872,[전북 전주] 한옥마을 나라한복 한복대여
29875,[충남 금산] 한방스파 테라피 이용권 &호텔 패키지
29951,[전북]전북투어패스 1일권 + 군산 선유스카이 선라인 (짚라인)
30044,[경기 양평] 오르다온 송백수목원
30045,[충남 당진] 월드아트서커스
30047,[경기 용인] 한국패러글라이딩 학교
30072,[속초] 척산온천 휴양촌 이용권
30080,[경북 경주] 토이빌리지 테마파크
30091,[서울 동대문] 판타 키즈vr
30155,[강원 인제] 인제 짚트랙
30168,[충남 청양] 청양 고운식물원
30205,[강원 춘천] 춘천 물레길 카누 + 집라인
30262,[서울 용산] 곤충파충류 체험전
30330,[서울 을지로] 그레뱅뮤지엄 입장권 패키지
30332,[경기 가평] 가평레져벨리카트장
30341,[경기 양평] 두메향기
30385,[대전 중구] 대전 아쿠아리움 입장권
30389,[경기 안양] 엔젤하우스 : 베이비 카페 + 수영
30437,[전북 부안] 원숭이학교 + 부안투어패스
30448,[경북 청도] 프로방스 빛축제 짚라인패키지
30452,[전북 무주] 덕유산 관광곤돌라 왕복권 + 무주투어패스 패키지
30455,[경기 양평] 양떼목장
30486,[부산 중구] 트릭아이 미술관 입장권
30544,[충남 대천] 국가대표 패러글라이딩
30576,[강원 영월] 동강탑레포츠 래프팅 + 숙박 패키지
30587,[강원 양양]몬스터 서퍼스
32125,[강원 춘천] BFS 남이섬 보트 투어
32136,[서울 강서] 정글대탐험 김포공항점 : 파충류/곤충체험전
32147,[경기 안양] VR GO : VR체험
32161,[경남 김해] 롯데워터파크 종일권+찜질방&사우나
32170,[전북 무주]스노우밸리펜션 + 레저/식사 패키지
32174,[서울 홍대] 홍대 엑스이스케이프 방탈출 전지점(상세정보필참)
32188,[강원 강릉] 하슬라 아트월드 : 이색전시
32189,[서울 송파] 올림픽공원 전동휠
32202,[경북 경주]한복 나드리
32213,[강원 인제] 내린천 미래래프팅/ATV(산악오토바이)
32214,[경남 김해] 가야랜드 체험 놀이터
32268,[강원 춘천] 수상레저 V : ★여름방학 특가
32290,[경기 가평] 썸머타임 수상레저 왕초보라이딩 : ★ 특가 이벤트
32291,[경기 가평] 인기HOT스팟 BFS수상레저
32292,[경기 일산] 미니 키즈월드 킨텍스점
32339,[경기 가평] 레저캠프 수상레저
32342,[경기 가평] 양세찬과 함께하는 AK 수상레저
32346,[서울 종로] 테지움 서울
32347,[충북 충주] 탄금호 캠핑리조트 + 체험패키지
32348,[남이섬] 가평 가평탑랜드 번지점프
32349,[부산 북구] 화명수상레저 ★여름특가
32371,[충북] 힐링투어패스 + 제천짚트랙
32373,[경기 가평] 워터플레이 수상레저 : ★ 1000매 한정 특가
32383,[충북] 힐링투어패스 + 단양 패러마을 패러글라이딩
32388,[충남 태안] 안면도 익사이팅 레포츠 체험
32409,[경기 가평] 미친 수상레저
32418,[충남 태안] 신두리레포츠 ATV
32434,[경기 파주] 헤이리 예술아 노올자
32435,[강원 영월] 동강 OK래프팅
32481,[서울 강남] VR존 : 가로수길 본점
32482,[경기 일산] VR존 : 일산웨돔점
32483,[부산 중구] VR존 : 부산 엘큐브 광복점
32484,[대전 중구] VR존: 대전점
32485,[서울 강남] VR존 : 강남점
32520,[경기 가평] 썸머드림 수상레저
32534,[서울 잠실] 레전드 히어로즈 : 테마파크
32536,[서울 명동] 레전드 히어로즈 : 명동점
32539,[부산 송정] 멜로우 서프
32541,[전북 군산] 교복은여기서 + 군산투어패스
32567,[서울 서초] 샤갈 러브 앤 라이프
32570,[경기 가평] 르푸앙 수상레저
32579,[경기 가평] 무한도전 수상레저
32592,[경기 파주] 헤이리 공룡탐험대
