LSR_GOODS_CD,LSR_GOODS_NM,CSTMR_INQRY_CTTPLC_DC
19,[전북 전주]말순이 : 한옥마을 한복대여권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
25,[서울 홍대] 러브뮤지엄 : 이색전시회,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
31,[전북 전주] 플라이코리아 패러글라이딩,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
108,[경기 여주] 쎈토이 뮤지엄 입장권(키덜트),• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
124,[서울 종로] 리브레 : 수제비누 & 향초 만들기 체험,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
140,[경기 시흥] 창조자연사 박물관 입장권,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
141,[충북 단양] 클레이사격,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
155,[서울 신도림] 뛰뛰빵빵 점핑랜드,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
197,[서울 강남] 클라임이모션,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
268,[충남 당진] 삽교호 카트월드 이용권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
744,"[충북 단양] 천동동굴 : 석회동굴, 단양명소",• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
796,[서울 강남] 크리센트 : 향수  만들기 원데이 클래스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
853,[서울 중구] 남대문 실탄사격장,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
