LSR_GOODS_CD,LSR_GOODS_NM,FCLTY_ROAD_NM_ADDR
35476,[충북 단양] 다누리아쿠아리움,충북 단양군 단양읍 수변로 111
35552,[강원 평창] 대관령양떼목장,강원 평창군 대관령면 경강로 5721
35558,[경북 울진] 덕구온천 스파월드 (7/1~7/19),경북 울진군 북면 덕구온천로 924
35559,[충남 아산] 피나클랜드 여름상품,충남 아산시 영인면 월선길 20-42
35561,[인천 송도] 도심형 테마파크 몬스터 VR 7월,인천 연수구 송도동 176-5
35564,[경북 경산] 팔공산 갓바위 워터피아 이용권,경북 경산시 와촌면 팔공로 237-14
35568,[경남 창원] 출발 키즈드림팀,경남 창원시 의창구 원이대로 362
35573,[인천 남구] 문학워터파크 : 고기굽기가능,인천 남구 매소홀로 618
35574,[부산] 키자니아 어린이 체험테마파크,부산 해운대구 센텀4로 15
35577,[경기 여주] 썬밸리워터파크 구명조끼 무료증정 : ★핫딜특가,경기 여주시 강변유원지길 45
35579,"[경기 여주] 썬밸리 워터파크 종일권 7,8월",경기 여주시 강변유원지길 45
35580,[경기 일산] 원마운트 워터파크 7월,경기 고양시 일산서구 한류월드로 300
35670,[충북 단양] 온달관광지,충북 단양군 영춘면 온달로 23
35671,[서울 노원] 피노파밀리아 키즈테마파크,서울 노원구 중계로 131-17
35676,[경기 화성] 하피랜드 : 워터파크 + 찜질방 + 스파,경기도 화성시 팔탈면 율암리 483-26
35681,[대구 동구] 얼라이브 아쿠아리움,대구 동구 동부로 149
35684,[경기 양주] 스톤밸리 수영장,경기 양주시 칠봉산로228번길 126-190
35685,[경북 경주] 소인국 디오라마월드,경북 경주시 보문로 402-31
35687,[강원 영월] 동강시스타 힐링스파,강원 영월군 영월읍 사지막길 160
35692,[충남 천안] 쥬쥬피아,충남 천안시 동남구 성불사길 36
35696,[대구 달서] 엘리바덴 : 상인점,대구 달서구 상인동 1558
35697,[대구 달서] 엘리바덴 신월성점,대구 달서구 조암로 38
35700,[충북 충주] 라이트월드,충북 충주시 남한강로 24
35702,[충북] 힐링투어패스 + 충주 라이트월드,충북 충주시 남한강로 24
35706,[경기 과천] 서울대공원 리프트 + 서울동물원 입장권 패키지,경기 과천시 대공원광장로 102
35711,[경남 통영] 히어로스튜디오 통통 체험 테마파크,경남 통영시 산양읍 담안길 240
35775,[대구 달성] 힐크레스트 : 에코 어드벤처,대구 달성군 가창면 가창로 1003
35776,[대구 달성] 힐크레스트 특별 패키지,대구 달성군 가창면 가창로 1003
35781,[서울 강서] 코코몽 키즈랜드 강서점,서울 강서구 등촌동 689
35782,[광주 북구] 코코몽 키즈랜드 광주역점,광주 북구 경열로 249
35783,[대전 중구] 코코몽 키즈랜드 대전 중앙로점,대전 중구 선화동 3-12
35784,[대구 수성] 코코몽 키즈랜드 동아수성점,대구 수성구 지범로 191
35786,[경기 용인] 스카이패러글라이딩,경기 용인시 처인구 모현면 초부리 211-6
35790,[서울 왕십리] V-PLEX 통합패키지 7월,서울 성동구 행당동 168-151
35792,[경북 경산] 경산스파월드 워터파크 패키지,경북 경산시 남천면 남천로 305-61
35797,[전북 전주] 후크의성 워터파크,전북 전주시 덕진구 인교로 65
35804,[서울 영등포] 씨랄라워터파크,서울 영등포구 문래로 164
35805,[경기 부천] 야인시대 야외수영장,경기 부천시 길주로 1
35808,[경북 울진] 덕구온천 스파월드 성수기 (7/20~8/20),경북 울진군 북면 덕구온천로 924
35810,[경기 파주] 동화힐링캠프 수영장,경기 파주시 파평면 파평산로363번길 32-9
35813,[서울 잠실] 롯데월드 아쿠아리움 + 펍앤그릴 패키지 7월,서울 송파구 올림픽로 300
35818,[경북 경주] 한국대중음악박물관,경북 경주시 엑스포로 9
35819,[경북 경주] 혼자수미술관,경북 경주시 중앙로 23
35823,[경기 부천] 아인스워터월드 + 아인스월드 주간권 : 7/7 OPEN!,경기 부천시 도약로 1
35855,[충남 천안] 상록아쿠아피아 오후권 미들시즌,충남 천안시 동남구 수신면 수신로 576
35858,[서울 삼성] 코엑스 아쿠아리움 7월,서울 강남구 영동대로 513
35859,[서울 잠실] 롯데월드 아쿠아리움 7월,서울 송파구 올림픽로 300
35860,[서울 잠실] 롯데월드 아쿠아리움 + 롯데 뮤지엄 7월,서울 송파구 올림픽로 300
35863,[부산 금정] 코코몽 키즈랜드 부산대점,부산 금정구 장전동 40
35864,[경기 부천] 코코몽 키즈랜드 부천 뉴코아점,경기 부천시 송내대로 239
35865,[서울 송파] 코코몽 키즈랜드 송파점,서울 송파구 문정동 516
35866,[경기 수원] 코코몽 키즈랜드 수원터미널점,경기 수원시 권선구 권선동 1189
35868,[전남 순천] 코코몽 키즈랜드 순천점,전남 순천시 조례동 766
35869,[경기 안산] 코코몽 키즈랜드 안산점,경기 안산시 단원구 고잔동 533
35870,[경기 수원] 코코몽 키즈랜드 동수원점,경기 수원시 팔달구 인계동 1114-1
35882,[경북 경산] 펀펀비치 워터파크 하이시즌,경북 경산시 압량면 금구길 23
35888,[서울 용산] 블루스퀘어 인터파크 VR 7월 : ★평일특가,서울 용산구 한남동 727-56
35893,[전남 순천] 순천만국가정원 스카이큐브 탑승권,전남 순천시 강변로 435
35895,[강원 강릉] 정동진패러마을,강원 강릉시 강동면 정동등명길 7
35899,[제주] 자유이용권 BIG2 1+1 : ★핫딜특가,제주특별자치도 서귀포시 안덕면 병악로 166
35937,[서울 서초] 예술의전당 신카이마코토展 : ★핫딜특가,서울 서초구 남부순환로 2406
35940,[경기 가평] 양세찬과 함께하는 AK수상레저 : ★핫딜 1+1 특가,경기 가평군 설악면 자잠로 377
35984,[인천 남동] 코코몽 키즈랜드 인천점,인천 남동구 구월동 1465-1
35985,[경기 평택] 코코몽 키즈랜드 평택점,경기 평택시 비전2동 830
35986,[경북 경주] 경주 키덜트 뮤지엄,경북 경주시 보문로 132-16
35990,[경기 김포] 버드몽 테마파크 : 야외수영장,경기 김포시 월곶면 점동로 34
35992,냐냐,서울 강남구 테헤란로108길 42
35993,[서울 잠실] 롯데월드 자유이용권,서울 송파구 올림픽로 240
35994,[서울 잠실] 롯데월드 패밀리 자유이용권,서울 송파구 올림픽로 240
