LSR_GOODS_CD,LSR_GOODS_NM,SLE_STATE_DC
19,[전북 전주]말순이 : 한옥마을 한복대여권,STOP
25,[서울 홍대] 러브뮤지엄 : 이색전시회,STOP
31,[전북 전주] 플라이코리아 패러글라이딩,STOP
42,마라도 잠수함,STOP
43,마린 선상낚시,STOP
46,산방산 유람선,STOP
47,생각하는 정원,STOP
48,하늘여행 행글라이더,STOP
50,월드제트보트,STOP
51,서귀포 유람선,STOP
53,서귀포 잠수함,STOP
54,엘리펀시아,STOP
55,성산포 유람선,STOP
83,코코몽 에코파크,STOP
84,테디베어 사파리,STOP
85,여미지 식물원,STOP
86,박물관은 살아있다,STOP
87,[제주 구좌] 제주 레일바이크,STOP
89,제주 민속촌,STOP
90,러브랜드,STOP
91,선녀와 나무꾼 테마공원,STOP
92,세계자동차 박물관,STOP
96,공룡랜드 & 앵무새사파리,STOP
97,테디베어 뮤지엄,STOP
98,더마파크 카트,STOP
99,더마파크 기마공연,STOP
100,휴애리 자연생활공원,STOP
101,한림공원,STOP
105,퍼시픽랜드 공연,STOP
108,[경기 여주] 쎈토이 뮤지엄 입장권(키덜트),STOP
124,[서울 종로] 리브레 : 수제비누 & 향초 만들기 체험,STOP
140,[경기 시흥] 창조자연사 박물관 입장권,STOP
141,[충북 단양] 클레이사격,STOP
142,[제주 한림] 더마파크 단거리 체험 승마,STOP
143,더마파크 장거리 체험 승마,STOP
144,메이즈랜드,STOP
145,카멜리아힐,STOP
155,[서울 신도림] 뛰뛰빵빵 점핑랜드,SOLDOUT
197,[서울 강남] 클라임이모션,STOP
268,[충남 당진] 삽교호 카트월드 이용권,STOP
744,"[충북 단양] 천동동굴 : 석회동굴, 단양명소",STOP
773,[전북 전주] 상의원 : 한옥마을 한복대여,STOP
796,[서울 강남] 크리센트 : 향수  만들기 원데이 클래스,STOP
853,[서울 중구] 남대문 실탄사격장,STOP
897,베니스랜드 테마파크,STOP
898,산방산 탄산온천,STOP
899,서커스월드 입장권,STOP
972,[강원 강릉] 아라나비토종 짚라인 왕복권,STOP
1021,[전북 전주] 한복길 한복대여,STOP
1036,[서울 노원] 이창현 노원클라이밍센터,STOP
1090,[서울 상암] 코알라 클라이밍,STOP
1091,[서울 종로] 경복궁 한복대여 한복남,STOP
1116,[경기 일산] 원마운트 아이봇,STOP
1117,"[서울 여의도] 여의나루 아이봇, 전동킥보드",STOP
6669,[전남 여수] 카트 체험장,STOP
11096,[서울 홍대] 반지카페 : 반지만들기 체험,STOP
11439,[전남 여수] 국가대표 패러글라이딩,STOP
11455,[서울 종로] MES 방탈출카페,STOP
11493,[서울 관악] 우쿨렐레 원데이 클래스,STOP
11516,[충북 단양]패러마을 패러글라이딩,STOP
11528,[서울 동대문] 한복 웨딩카페,STOP
11542,[강원 강릉] 환희 컵 : 이색박물관,STOP
11651,[강원 평창] 조나단 패러글라이딩,STOP
11837,[경기 용인] 스카이패러글라이딩,STOP
11845,마린파크 돌핀 스위밍,STOP
11846,마린파크 조련사 체험,STOP
11867,점보빌리지 코끼리 트래킹 체험,STOP
12700,[서울 상왕십리] 그 아저씨 도예공방 : 핸드페인팅 & 핸드빌딩,STOP
12834,[강촌/가평] 레저클럽 ATV/카트/스쿠터/수상레저 패키지,STOP
12909,[서울 종로] 한복남 셀프스튜디오,STOP
12936,부산대학교 전동휠 대여,STOP
12962,[서울 여의도] 한강 전동 퀵보드/다타코리아 대여,STOP
12975,[전북 부안] 원숭이학교 & 자연사박물관,STOP
13003,[전북 전주] 프리미엄 동물카페 우쮸쮸,STOP
13009,[제주 중문] 다이나믹 메이즈 EP3 입장권,STOP
13395,[서울 홍대] 심신프리카페 : 마사지,STOP
13400,[경기 화성] 애니랜드 : 조류 & 체험동물원,STOP
13497,[평창] 용평리조트 스키패스 시즌권,STOP
13507,[경기 김포] 김포 곤충농장,SOLDOUT
13936,[충남 대천] 짚트랙,STOP
13940,[충남 공주] 이안 숲속 사계절 레일썰매,STOP
13957,[인천 남동] 그레이트피그미풀 키즈파크,STOP
15027,[경북 경주] 한복대여 입고놀자,STOP
18851,스카이 패러글라이딩,STOP
18909,[서울 강남] 피규어뮤지엄 W,STOP
19407,[경기 양평] 추억의 청춘뮤지엄,STOP
19541,[경북 경산] 경산 스파월드 : 사우나 & 찜질방,STOP
19589,[서울 목동] 목동 종합사격장,STOP
19595,[서울 송파] 송파 사격장,STOP
19598,[대전 동구] 그레이트피그미풀 : 대전복합터미널점,STOP
19722,[전북] 전북투어패스,STOP
19733,[서울 마포] 팝아트 : 초상화체험 풍뎅이의숲,STOP
19760,숯불애 짜투리고기 식사권,STOP
19761,[제주 애월] 파파월드,STOP
19762,허브동산 야간권,STOP
19767,[제주 제주시] RPB 패러글라이딩,STOP
19912,[강원 인제] 엑스게임 리조트 번지점프 이용권,STOP
19916,돌핀비바제트,STOP
19918,송악산 전기자전거 & 왕발통,STOP
19920,쇠소깍 제트보트,STOP
19924,제주바다체험장,STOP
19936,멍에승마장 & ATV,STOP
19937,서광승마장,STOP
19938,제주제트 올레크루즈,STOP
19939,조랑말타운,STOP
19952,[전북 전주] 전주 한옥마을패스권,STOP
20057,[전북 전주] 한옥마을패스권 + 상의원 고급한복대여 3시간 이용권,STOP
20066,[강원 인제] 인제 ATV,STOP
20077,건강과성박물관,STOP
20078,공룡휴게소박물관,STOP
20079,국궁 활쏘기체험,STOP
20080,김녕미로공원,STOP
20081,돌문화공원,STOP
20082,레포츠랜드,STOP
20083,마라도가는 여객선 : 송악산항,STOP
20084,별빛누리공원,STOP
20086,일출랜드,STOP
20087,[경기 안양] 러브낚시카페 안양점,STOP
20094,넥슨컴퓨터박물관,STOP
20095,미니랜드,STOP
20096,번개 과학 체험관,STOP
20097,본태박물관,STOP
20098,[제주 서귀포] 상효원 : 제주 자생식물 테마 정원,STOP
20099,세계 조가비 박물관,STOP
20100,아프리카 박물관,STOP
20101,유리의 성 마법의 숲,STOP
20102,제주불빛축제,STOP
20103,제주실탄사격,STOP
20119,한울랜드,STOP
20120,허브동산 주간권,STOP
20143,[서울 홍대] 트릭아이 뮤지엄 패키지,STOP
20172,OK승마장,STOP
20174,노리매 테마공원,STOP
20178,로봇스퀘어,STOP
20179,마라도 정기여객선,STOP
20184,방림원,STOP
20185,석부작박물관,STOP
20186,세계술박물관,STOP
20191,워터월드 해수사우나,STOP
20193,이상한 나라의 앨리스 박물관,STOP
20194,재밋섬,STOP
20195,전쟁역사평화박물관,STOP
20197,제주이야기,STOP
20198,중문승마장,STOP
20199,[제주 중문] 중문카트,STOP
20200,짚라인 제주,STOP
20204,트로이테마농원 승마체험,STOP
20259,철가방을 든 해녀,STOP
20281,[경기 안산]별빛마을 빛축제 + 거울미로,STOP
20374,[경북 경주]스쿠터 대여 스쿠터팡,STOP
20391,항공우주박물관,STOP
20392,헬로키티 아일랜드,STOP
20474,아쿠아플라넷 + 성산포유람선,STOP
20476,아쿠아플라넷 + 얼라이브카트,STOP
20479,아쿠아플라넷 + 산방산온천,STOP
20538,[경북 경주] 한복대여 한복동이,STOP
20553,[서울 종로] 창덕궁&창경궁 한복대여 한복남,STOP
20575,아쿠아플라넷 + 허브동산 야간권,STOP
20576,아쿠아플라넷 + 러브랜드,STOP
20578,아쿠아플라넷 + 박물관은 살아있다,STOP
20579,[제주] 아쿠아플라넷 + 다이나믹 메이즈,STOP
20586,[서울 잠실] 석촌호수 전동휠렌탈샵 제이휠,STOP
20596,[제주]아쿠아플라넷 + 레일바이크,STOP
20603,카멜리아힐 + 세계자동차제주박물관,STOP
20605,카멜리아힐 + 레일바이크,STOP
20614,카멜리아힐 + 산방산 탄산온천,STOP
20616,카멜리아힐 + 허브동산 야간권,STOP
20617,카멜리아힐 + 김녕미로공원,STOP
20627,[전북 전주] 한옥마을패스권 + 말순이 한복대여,STOP
20628,[전북] 한옥마을패스권 + 한복길 한복대여,STOP
20655,허브동산 + 마라도잠수함,STOP
20656,[제주] 허브동산 + 우도잠수함,STOP
20657,허브동산 + 서귀포잠수함,STOP
20658,허브동산 + 산방산온천,STOP
20697,[경기 가평] 인터렉티브 아트 뮤지엄,STOP
20820,한림공원 + 카멜리아힐,STOP
20821,한림공원 + 퍼시픽랜드,STOP
20834,한림공원 + 점보빌리지 (공연+바나나먹이주기),STOP
20835,한림공원 + 유리의 성 마법의 숲,STOP
20836,한림공원 + 러브랜드,STOP
20930,세리월드 승마,STOP
20931,세리월드 카트레이싱,STOP
20932,감귤박물관 입장권 + 감귤족욕체험,STOP
20983,소인국 테마파크 특가!,STOP
21018,[부산 남포] 심신프리 힐링카페,STOP
21019,[인천 중구] 영종도 레일바이크,STOP
21028,포레스트 판타지아,STOP
21111,여의도 한강유람선,STOP
21130,[아산] ★아산스카이로드 : 짚라인왕복권,STOP
21131,아산레일바이크,STOP
21169,테우 배낚시,STOP
21968,[전북 전주]한옥마을 한복대여 전주한복,STOP
21978,프리징 아일랜드,STOP
22000,[부산 동구] BUTI 시티 투어 버스,STOP
23035,[전북 군산] 패러글라이딩 스쿨,STOP
23038,[전북 전주] 전주한옥마을 한복대여 한복남,STOP
23096,[경북 울진] 한화리조트 백암온천 입장권,STOP
23120,[전북 군산] 군산투어패스 : 군산 5대 관광지 자유이용권,STOP
23121,[전북 군산] 군산투어패스 + 테디베어 뮤지엄,STOP
23130,[부산 서면] 깜부 키즈카페,STOP
23186,[강원 영월] 영월 패러글라이딩,STOP
23187,[경북 상주] 활공랜드,STOP
23192,웅진 플레이도시 디지털키즈카페 플랜디,STOP
23203,[전북 부안] 부안투어패스  : 부안여행 자유이용권,STOP
23220,블루마린 체험 다이빙 & 펀다이빙,STOP
23239,[서울 신림] 러브낚시카페 신림본점,STOP
23276,[전남 여수] 서틀러 다육식물원 관람&체험권,STOP
23838,[경북 경산]공룡박물관,STOP
23865,[서울 여의도] 알파휠 여의도점,STOP
23895,[전북 고창] 고창투어패스 : 4대 관광지 자유입장,STOP
23918,[서울 여의도] 아이봇 피크닉,STOP
23973,[경기 일산] 강아지 테마파크,STOP
24015,[제주 한경] 알프스 보석궁전 테마파크,STOP
24020,[전북 완주] 완주투어패스,STOP
24116,키자니아 테스트,STOP
24146,[경기 김포] 피싱파크 진산각,STOP
24147,[전북 전주] 한옥마을 호텔 MOMENT 708,STOP
24166,스마트인피니 연동테스트,STOP
24168,[제주 서귀포] 세리월드 로맨틱메이즈 불빛공원,STOP
24172,[경기 화성] 어섬 패러글라이딩,STOP
24177,[경북 안동] 곤충파충류 체험전,STOP
24189,[경기 일산] 아쿠아플라넷 종합권,STOP
24191,[일산] 아쿠아플라넷 패키지 : ★ 임팩트 특가(7/23-7/29),STOP
24197,[전북 진안] 진안투어패스,STOP
24198,[전북 진안] 진안투어패스 + 홍삼스파 패키지,STOP
24206,[경기 부천]아인스월드 세계야경 판타지 빛축제,STOP
24218,[제주 구좌] 워터서커스,STOP
24219,전주 한옥마을 도란도란 카라반  : 성수기 ~8월 27일,STOP
24228,[서울 남산] 쎈토이 뮤지엄,STOP
24255,러브낚시카페,STOP
24389,[서울 여의도] VR스크린사냥&사격장 슈팅버니,STOP
24392,[전북 전주] 에어피닉스 패러글라이딩,STOP
24399,[서울 왕십리] 그레이트피그미풀 키즈카페,STOP
24402,홍대 한복남 한복대여,STOP
24403,[전남 여수] 한우드림 동물테마농장,STOP
24408,[제주 서귀포] 조안베어 뮤지엄,STOP
24409,[제주 성산] 블루마운틴 커피박물관 체험,STOP
24411,[서울 인사동] 박물관은살아있다,STOP
24413,[서울 종로] 인사동 완전정복 패키지 BIG4,STOP
24415,[서울 인사동] 놀이똥산 패키지,STOP
24464,[경기 파주] 헤이리 팝트릭아트 93뮤지엄,STOP
24475,[서울 잠실] 불고기브라더스 잠실롯데월드점,STOP
24477,[전북 무주] 무주투어패스,STOP
24478,[전북 장수] 장수투어패스,STOP
24503,[제주 서귀포] 착한배낚시 주간체험,STOP
24504,[제주 한림] 라온 ZOO 동물원,STOP
24555,[경기 포천] 산사원 : 전통주 갤러리,STOP
24560,[전북 임실] 임실투어패스,STOP
24561,[해운대] SEA LIFE 부산아쿠아리움 9월특가,STOP
24589,[제주 조천] 캐릭파크,STOP
24609,[서울 홍대] 포트링 : 도자기만들기 체험,STOP
24640,[전북 전주] 한옥마을 왕발통 & 전동 바이크,STOP
24655,[충북 단양] 스카이 패러글라이딩,STOP
24659,[부산 김해]렛츠런파크 일루미아빛 테마파크,STOP
24661,[전북 임실] 임실치즈테마파크 치즈체험 + 임실투어패스,STOP
