LSR_GOODS_CD,LSR_GOODS_NM,LSR_MAIN_THUMB_URL,LSR_DETAIL_IMAGE_URL
19,[전북 전주]말순이 : 한옥마을 한복대여권,https://image6.yanolja.com/leisure/NyBzBgMpmsmdV6Ga,"[https://image6.yanolja.com/leisure/PUwY8z0QEMSdUQ2E, https://image6.yanolja.com/leisure/eVTR3z0frAwcVDam, https://image6.yanolja.com/leisure/Z5KEXmHW9S5gdmJp, https://image6.yanolja.com/leisure/qxCtUNstYkAWe7pW, https://image6.yanolja.com/leisure/9mp9oCdc9rxWD4YY, https://image6.yanolja.com/leisure/PxUePLDKMqXQw86e]"
25,[서울 홍대] 러브뮤지엄 : 이색전시회,https://image6.yanolja.com/leisure/UPDT7IrJVcWGFAJW,"[https://image6.yanolja.com/leisure/AQmFss6Qk27CJ6hT, https://image6.yanolja.com/leisure/Re8GL3ngDuBRMe3K, https://image6.yanolja.com/leisure/qJwih0yDj7d9g2d8, https://image6.yanolja.com/leisure/nsOGBldEmdAqj2wV, https://image6.yanolja.com/leisure/JTBlDx9LYruYTVOs, https://image6.yanolja.com/leisure/zHhTPUq3RpUaFLER]"
31,[전북 전주] 플라이코리아 패러글라이딩,https://image6.yanolja.com/leisure/yCIHoRuxTvx5sZJY,"[https://image6.yanolja.com/leisure/3xLGddcTnuQRmasU, https://image6.yanolja.com/leisure/3TnelO8mrGBBGkX0, https://image6.yanolja.com/leisure/rc3sxcldrvpEbHWo, https://image6.yanolja.com/leisure/3SMwBsbvKZLXeI0O, https://image6.yanolja.com/leisure/fMElhXZB0mTE4oaT]"
108,[경기 여주] 쎈토이 뮤지엄 입장권(키덜트),https://image6.yanolja.com/leisure/eMAvNhMAg3sxfq4G,"[https://image6.yanolja.com/leisure/K8k145xiwldEHVTe, https://image6.yanolja.com/leisure/LipLBI3BzI13NIRn, https://image6.yanolja.com/leisure/RixmOZoClf5sbMns, https://image6.yanolja.com/leisure/mqkPHAyGYqzX1WHP, https://image6.yanolja.com/leisure/lt90XFvhE975VYii]"
124,[서울 종로] 리브레 : 수제비누 & 향초 만들기 체험,https://image6.yanolja.com/leisure/BA2J2JOGSIU4uhnp,"[https://image6.yanolja.com/leisure/wP98hx2UljO3EgHc, https://image6.yanolja.com/leisure/Q0BMEIrNPZJM4OpL, https://image6.yanolja.com/leisure/VWzbrofVbPSDMwMc, https://image6.yanolja.com/leisure/lag5ei0AsUlksBbT, https://image6.yanolja.com/leisure/2SRlArAJ89tGFUEF]"
140,[경기 시흥] 창조자연사 박물관 입장권,https://image6.yanolja.com/leisure/MOrkj0KV7uShI9ut,"[https://image6.yanolja.com/leisure/XyOQwL6JKOjZYzr9, https://image6.yanolja.com/leisure/yiz3i5gAqXKdg1eL, https://image6.yanolja.com/leisure/5sb0mTgY0FyEGVkd, https://image6.yanolja.com/leisure/CjqgiT3c1qJWEPYR, https://image6.yanolja.com/leisure/FLOndGFnkHsuKM2L, https://image6.yanolja.com/leisure/BdDmp23Zza8MSOGa]"
141,[충북 단양] 클레이사격,https://image6.yanolja.com/leisure/khmQIxGUNh4T3HN5,"[https://image6.yanolja.com/leisure/uarViBt95TV3EmM8, https://image6.yanolja.com/leisure/cNainwuJCvrIaM3c, https://image6.yanolja.com/leisure/VvBRiqMd0PAehy2K, https://image6.yanolja.com/leisure/ju9tSZeX0024TKjr, https://image6.yanolja.com/leisure/qse2nwY07TitIZ9Y, https://image6.yanolja.com/leisure/Nq8XpI7T99RPWdE9]"
155,[서울 신도림] 뛰뛰빵빵 점핑랜드,https://image6.yanolja.com/leisure/1pJuw8rgf94HD0it,"[https://image6.yanolja.com/leisure/WwGWhk24nvz8ewFP, https://image6.yanolja.com/leisure/pkBasKIQ11gmnaEt, https://image6.yanolja.com/leisure/AqK1bH87pEge1U2t, https://image6.yanolja.com/leisure/q8Nti47uyqRcfqNf, https://image6.yanolja.com/leisure/iWO1dpUhpWWYLqfb, https://image6.yanolja.com/leisure/2cp2mvCrmeiht5wV, https://image6.yanolja.com/leisure/UrgRNP1ddwRjRQR7, https://image6.yanolja.com/leisure/U9MLqGuJv40luOIA, https://image6.yanolja.com/leisure/JApmT7XXhL32uVkv, https://image6.yanolja.com/leisure/uTBPqQYJ9gMtmRgx]"
197,[서울 강남] 클라임이모션,https://image6.yanolja.com/leisure/DA3GIgWXkgcMYias,"[https://image6.yanolja.com/leisure/qVGjE1ndK9z3rNsf, https://image6.yanolja.com/leisure/R4SlOr6iWdIkTh01, https://image6.yanolja.com/leisure/90e1CJts8MfBtYIS, https://image6.yanolja.com/leisure/OxwS571RPsXSARRx, https://image6.yanolja.com/leisure/rq0SfBYiF9tJX7iQ]"
268,[충남 당진] 삽교호 카트월드 이용권,https://image6.yanolja.com/leisure/v3AhXlI58ObETl79,"[https://image6.yanolja.com/leisure/SUosvvQ18CEM7pso, https://image6.yanolja.com/leisure/P74OqmPpcDJZan2k, https://image6.yanolja.com/leisure/JiOfjjYAtDUYw9WB, https://image6.yanolja.com/leisure/YHVOd8kUNoMucOAa, https://image6.yanolja.com/leisure/f4Trr2wiRvaZKvMT, https://image6.yanolja.com/leisure/OFURFnPF3u9EJyJf]"
