LSR_GOODS_CD,LSR_GOODS_NM,GOODS_GUID_CN
19,[전북 전주]말순이 : 한옥마을 한복대여권,전주 한복대여 말순이   한옥마을의 중심 한복대여 1번가 한복대여점 말순이는 한옥 마을 중심에 위치해 접근성 뛰어 납니다. 다양한 한복이 마련 되어 있어 컨셉에 맞게 골라 입어볼 수 있습니다. 사물함이 구비 되어 있어 짐걱정 없이 가볍게 촬영을 즐길 수 있습니다. 전주에서 예쁜 한복입고 예쁜 추억 만드세요.
25,[서울 홍대] 러브뮤지엄 : 이색전시회,2호선 홍대입구역 9출구에서 도보 약 5분 거리에 위치한 러브뮤지엄  일반 전시회들과는 조금 다른 색다른 전시회로 권태기도 풀리게 한다는 그 전시관! 민망할 수도 있지만   재미있게 즐기다 올 수 있는 곳입니다. 유머러스하고  남다른 사진들로 한번뿐인 추억을 남기고 오세요.
31,[전북 전주] 플라이코리아 패러글라이딩,뛰어난 풍광으로 패러글라이더들에게 인기  시간당 1팀만 예약이 가능하니 더 여유롭게 체험해 볼 수 있어요. 대중교통을 이용하신다면 미리 픽업을 예약해주세요. 쉽게 배우는 안전교육! 장비착용 후 - 도약준비완료 - 힘찬 뜀박질 후 - 전주 하늘을 활공 전주 하늘에서 추억만들기 성공!  잊지 못 할 전주의 하늘을 지금 바로 체험해 보세요.
108,[경기 여주] 쎈토이 뮤지엄 입장권(키덜트),섬세하게 재현된 피규어의 천국  다양한 장르의 캐릭터가 구현되어 있어요. 대형크기로 제작된 캐릭터 피규어들이 있어 사진촬영으로 추억을 남길 수 있답니다. 피규어 전시만 구경하는 것이 아닌  기프트존이 구성되어 구매가 가능하니 눈으로 보기만 아쉽다면 기프트 존으로 가면 됩니다. 다양하게 구경하고 사진찍고 피규들과 함께 행복한 시간을 보내보는건 어떨까요?
124,[서울 종로] 리브레 : 수제비누 & 향초 만들기 체험,"오늘 방 향기는 너야 너, 예쁜데 향도 좋은 너 종로 리브레: 수제비누& 향초 만들기  사랑하는 사람에게 직접 만든 특별한 향초와 비누를! 내 손으로 만들어서 더욱 의미 있는 선물입니다  비누와 향초에 들어가는 재료는 모두 천연! 아이들도 쓸 수 있는 안전한 제품입니다.  만들 시간이 없다면 직접 만든 제품들을 구매할 수도 있어요. 선물하실 생각이라면 선물 포장을 요청해주세요~  세련된 포장을 해드립니다.  단 하나밖에 없는 나만의 천연비누 만들기로 좋은 추억 만들어가세요."
140,[경기 시흥] 창조자연사 박물관 입장권,"엄마! 우리 여기가요! 아이들이 좋아하는 시흥 창조자연사 박물관  호기심 많은 아이를 위해 생태 학습장을 찾는다면 창조자연사를 방문해보세요. 움직이는 공룡들은 물론, 기증을 통해 얻은 진짜 화석들까지 모두 전시되어 있어요. 뿐만 아니라 화석을 직접 만들어 볼 수 있는 프로그램이 준비되어 있어, 절대 잊지 못할 추억이 만들어지는 곳입니다.  공룡랜드, 골격 공룡관, 블랙홀, 화석 광물관, 해양 생태관, 해양 패류관, 익룡관, 나비 곤충관 등  아이의 호기심을 자극하는 다양한 테마가 준비되어 있답니다.  실내와 실외가 모두 공룡들로 가득 차 더욱 실감 나는 생태 학습 체험이 가득한 창조 자연사 세상에서 아이와 함께 즐겨보시는 게 어떠세요?"
141,[충북 단양] 클레이사격,"이색적인 스포츠! 단양 클레이사격  클레이 사격이란? 진흙으로 빚은 주황색 접시 모양의 표적을 쏘아 맞히는 고급 레저 스포츠에요. 대중 스포츠가 아니라서 이색 레저 체험의 천국인 단양에서도 한 곳뿐이랍니다.  귀마개, 사격 조끼, 엽총, 실탄 등 클레이 사격에 필요한 모든 장비가 갖추어져 있으니 몸만 오시면 됩니다. 누구나 안전교육과 강습만 받으면 쉽게 즐길 수 있습니다.  흔히 접하기 힘든 스포츠로 매력적인 클레이 사격을 경험하러 단양으로 출발해보세요."
155,[서울 신도림] 뛰뛰빵빵 점핑랜드,
197,[서울 강남] 클라임이모션,
268,[충남 당진] 삽교호 카트월드 이용권,"숨어있던 질주본능이 깨어난다! 당진 카트월드 짜릿한 드리프트! 멈출 수 없는 스피드!  다양한 볼거리와 즐길 거리가 있는 당진 삽교호 카트월드는 서해대교를 비롯하여 호수와 바다를 감상하며 레이싱을 즐길 수 있는 짜릿한 레저 공간입니다 다양한 코너와 함께 낮이든 밤이든 시간에 구애받지 않고 즐길 수 있어요 넓은 카트장에서 마음껏 씽씽 달려보세요 2인용 카트도 준비되어있어 안전한 레이싱으로 아이들이 더 좋아한답니다 부모님, 친구, 연인과 함께 즐기는 짜릿한 스피드~  오늘만큼은 당진 카트월드에서 스피드레이서가 되어보세요!"
