LSR_GOODS_CD,LSR_GOODS_NM,FCLTY_TEL_NO
19,[전북 전주]말순이 : 한옥마을 한복대여권,010-6424-1739
25,[서울 홍대] 러브뮤지엄 : 이색전시회,02-3144-7740
31,[전북 전주] 플라이코리아 패러글라이딩,063-225-262
42,마라도 잠수함,064-794-0200
43,마린 선상낚시,064-784-6161
46,산방산 유람선,064-792-1188
47,생각하는 정원,064-772-3701
48,하늘여행 행글라이더,064-794-0822
50,월드제트보트,064-784-2337
51,서귀포 유람선,064-732-1717
53,서귀포 잠수함,064-732-6060
54,엘리펀시아,064-745-0082
55,성산포 유람선,064-784-6161
83,코코몽 에코파크,064-764-7777
84,테디베어 사파리,064-799-4820
85,여미지 식물원,064-735-1100
86,박물관은 살아있다,064-805-0888
87,[제주 구좌] 제주 레일바이크,064-783-0033
89,제주 민속촌,064-787-4501
90,러브랜드,064-712-6988
91,선녀와 나무꾼 테마공원,064-784-9001
92,세계자동차 박물관,064-792-3000
96,공룡랜드 & 앵무새사파리,064-746-3060
97,테디베어 뮤지엄,064-738-7600
98,더마파크 카트,064-795-8080
99,더마파크 기마공연,064-795-8080
100,휴애리 자연생활공원,064-732-2114
101,한림공원,064-796-0001
105,퍼시픽랜드 공연,064-738-2888
108,[경기 여주] 쎈토이 뮤지엄 입장권(키덜트),031-885-3750
124,[서울 종로] 리브레 : 수제비누 & 향초 만들기 체험,02-733-6984
140,[경기 시흥] 창조자연사 박물관 입장권,031-435-1009
141,[충북 단양] 클레이사격,043-421-8066
142,[제주 한림] 더마파크 단거리 체험 승마,064-795-8080
143,더마파크 장거리 체험 승마,064-795-8080
144,메이즈랜드,064-784-3838
145,카멜리아힐,064-723-1551
155,[서울 신도림] 뛰뛰빵빵 점핑랜드,02-2111-5567
197,[서울 강남] 클라임이모션,02-552-2532
268,[충남 당진] 삽교호 카트월드 이용권,041-363-6647
744,"[충북 단양] 천동동굴 : 석회동굴, 단양명소",043-422-2972
773,[전북 전주] 상의원 : 한옥마을 한복대여,010-8626-8888
796,[서울 강남] 크리센트 : 향수  만들기 원데이 클래스,02-558-9990
853,[서울 중구] 남대문 실탄사격장,02-778-4008
897,베니스랜드 테마파크,064-784-6566
898,산방산 탄산온천,064-792-8300
899,서커스월드 입장권,064-794-4444
972,[강원 강릉] 아라나비토종 짚라인 왕복권,033-641-9002
