LSR_GOODS_CD,LSR_GOODS_NM,RFN_POLICY_DC
19,[전북 전주]말순이 : 한옥마을 한복대여권,• 미사용티켓 환불가능 • 유효기간 이후 미사용티켓 환불가능 • 사용한 티켓 환불 불가
25,[서울 홍대] 러브뮤지엄 : 이색전시회,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
31,[전북 전주] 플라이코리아 패러글라이딩,"• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가  [티켓 예약시] • 해당상품은 전화 예약시 티켓 사용처리됩니다. • 예약 후 취소를 원하시면 레저큐 고객센터 1644-1346으로 연락 바랍니다.   * 이용일 1일전 까지 100%환불 가능   * 이용일 당일 미사용시(No Show) 환불불가   * 단, 당일 기상악화로 인한 비행취소시 전액환불 가능"
108,[경기 여주] 쎈토이 뮤지엄 입장권(키덜트),• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
124,[서울 종로] 리브레 : 수제비누 & 향초 만들기 체험,* 유효기간내 100% 환불가능 * 유효기간 이후 취소신청시 취소환불불가
140,[경기 시흥] 창조자연사 박물관 입장권,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 해당 상품은 중복 할인 적용 불가합니다.
141,[충북 단양] 클레이사격,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 취소 요청 후 24시간 내 취소 확정 여부를 확인 드립니다.
155,[서울 신도림] 뛰뛰빵빵 점핑랜드,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
197,[서울 강남] 클라임이모션,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
268,[충남 당진] 삽교호 카트월드 이용권,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 취소 요청 후 24시간 내 취소 확정 여부를 확인 드립니다.
